סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_6,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
0         ,לא רשום                  ,0         ,לא ידוע                  ,0         ,                         ,0         ,                         ,19089     ,914       ,525       ,906       ,628       ,677       ,15439
7         ,שחר                      ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,788       ,58        ,207       ,266       ,101       ,64        ,92
10        ,תירוש                    ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,455       ,40        ,80        ,163       ,58        ,53        ,61
11        ,ניר ח"ן                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,601       ,42        ,147       ,190       ,75        ,56        ,91
13        ,חצבה                     ,62        ,באר שבע                  ,63        ,אילת                     ,54        ,הערבה התיכונה            ,710       ,66        ,176       ,217       ,73        ,40        ,138
15        ,נועם                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,34        ,שפיר                     ,456       ,35        ,106       ,161       ,53        ,38        ,63
16        ,בית ניר                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,35        ,יואב                     ,685       ,39        ,204       ,200       ,117       ,49        ,76
18        ,שדה משה                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,625       ,70        ,157       ,206       ,66        ,58        ,68
21        ,באר אורה                 ,62        ,באר שבע                  ,63        ,אילת                     ,53        ,חבל אילות                ,1066      ,69        ,392       ,334       ,186       ,50        ,35
22        ,מקווה ישראל              ,53        ,חולון                    ,53        ,חולון                    ,0         ,                         ,210       ,16        ,35        ,74        ,31        ,17        ,37
23        ,אמציה                    ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,290       ,39        ,67        ,117       ,18        ,19        ,30
24        ,לכיש                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,828       ,41        ,202       ,265       ,159       ,63        ,98
